unid,wbid,country,year,SES,gdppc,yrseduc,popshare
4,AFG,Afghanistan,1970,3.4742124,709,,.0030974303
4,AFG,Afghanistan,1920,26.968016,731.75677,,.0032446014
4,AFG,Afghanistan,1990,1.2695296,604,,.002346751
4,AFG,Afghanistan,1960,15.763076,739,,.003039381
4,AFG,Afghanistan,2000,2.0611143,565,,.0033088236
4,AFG,Afghanistan,2010,5.6763997,1662.8035,,.0041496116
4,AFG,Afghanistan,1880,37.957447,585.46509,,.0032711735
4,AFG,Afghanistan,1940,14.320977,673.91895,,.0032264683
4,AFG,Afghanistan,1890,29.591391,635.93024,,.0032554974
4,AFG,Afghanistan,1980,3.4650476,690,,.0030573066
4,AFG,Afghanistan,1930,15.306766,702.83783,,.0032587289
4,AFG,Afghanistan,1950,23.424145,645,,.0033020985
4,AFG,Afghanistan,1900,28.104797,686.39532,,.0032445015
4,AFG,Afghanistan,1910,26.9876,736.86047,,.0031784344
24,AGO,Angola,2010,21.247763,6492.1768,2.79,.0031490561
24,AGO,Angola,1930,24.175644,747.81482,.079999998,.001587122
24,AGO,Angola,1920,24.223469,682.62964,.079999998,.0015237019
24,AGO,Angola,1970,30.052431,1768,.28999999,.0017549359
24,AGO,Angola,1960,27.918711,1253,.11,.0017810419
24,AGO,Angola,1950,28.05554,1052,.090000004,.001668241
24,AGO,Angola,1880,11.459789,533.66669,.07,.0013897795
24,AGO,Angola,2000,29.470123,3831,2.28,.0025290088
24,AGO,Angola,1990,31.855452,4806.4302,1.84,.00216401
24,AGO,Angola,1980,13.219266,961,.92000002,.0019003607
24,AGO,Angola,1910,14.800509,628.69232,.07,.0014280818
24,AGO,Angola,1890,23.73538,567.33331,.07,.0014170408
24,AGO,Angola,1900,24.152035,601,.07,.0014377852
24,AGO,Angola,1940,23.714304,813,.079999998,.0016068829
8,ALB,Albania,1890,67.889656,598,,.00048083669
8,ALB,Albania,1950,67.035362,1001,,.00049717881
8,ALB,Albania,1900,68.291382,685,,.00049256528
8,ALB,Albania,1990,72.882904,4557.4082,,.00063912588
8,ALB,Albania,1980,69.502441,2347,,.00061833771
8,ALB,Albania,1930,65.956871,929.57141,,.00046770583
8,ALB,Albania,1910,67.64238,780,,.00049396837
8,ALB,Albania,1880,41.783779,522,,.00047656349
8,ALB,Albania,1940,66.797325,965.28571,,.00046828933
8,ALB,Albania,2010,74.860367,9927.1758,,.00043229439
8,ALB,Albania,1920,66.318832,861.3125,,.00048868998
8,ALB,Albania,2000,72.464691,5470.0176,,.00051878369
8,ALB,Albania,1970,68.380905,2004,,.00059477024
